"","Cluster1","Cluster2","Cluster3","Cluster4","Cluster5","Cluster6","Cluster7"
"1",0.483,0.009,0.008,0.153,0.23,0.116,0
"2",0.406,0.01,0.008,0.18,0.245,0.151,0
"3",0.506,0.01,0.007,0.15,0.209,0.117,0
"4",0.463,0.009,0.01,0.137,0.198,0.182,0.001
"5",0.439,0.01,0.006,0.195,0.222,0.128,0
"6",0.486,0.009,0.006,0.165,0.197,0.136,0.001
"7",0.485,0.007,0.008,0.155,0.212,0.133,0
"8",0.562,0.006,0.005,0.134,0.176,0.117,0
"9",0.505,0.007,0.004,0.161,0.196,0.127,0
"10",0.431,0.007,0.005,0.182,0.248,0.127,0
"11",0.391,0.009,0.011,0.214,0.241,0.133,0
"12",0.484,0.007,0.004,0.143,0.219,0.143,0
"13",0.486,0.007,0.006,0.149,0.205,0.146,0
"14",0.502,0.01,0.007,0.138,0.213,0.129,0.001
"15",0.447,0.01,0.008,0.174,0.24,0.121,0
"16",0.433,0.014,0.007,0.177,0.248,0.121,0
"17",0.474,0.012,0.009,0.165,0.207,0.133,0
"18",0.431,0.01,0.006,0.185,0.238,0.13,0
"19",0.31,0.014,0.005,0.336,0.171,0.153,0.011
"20",0.356,0.012,0.006,0.308,0.158,0.145,0.015
"21",0.333,0.015,0.008,0.32,0.167,0.145,0.014
"22",0.337,0.015,0.006,0.325,0.162,0.139,0.015
"23",0.304,0.016,0.005,0.333,0.182,0.148,0.012
"24",0.351,0.013,0.005,0.307,0.162,0.146,0.015
"25",0.532,0.002,0.003,0.149,0.154,0.159,0
"26",0.169,0.007,0.005,0.475,0.267,0.077,0
"27",0.17,0.001,0.001,0.52,0.245,0.063,0
