"","State1","State2","State3","State4","State5","State6","State7"
"1",0.265,0.021,0.021,0.309,0.128,0.148,0.109
"2",0.129,0.025,0.019,0.372,0.134,0.13,0.19
"3",0.267,0.02,0.022,0.319,0.115,0.123,0.134
"4",0.225,0.024,0.024,0.24,0.123,0.162,0.203
"5",0.216,0.029,0.024,0.337,0.109,0.152,0.132
"6",0.244,0.02,0.019,0.268,0.144,0.122,0.182
"7",0.256,0.02,0.019,0.304,0.134,0.11,0.156
"8",0.333,0.017,0.016,0.208,0.104,0.115,0.207
"9",0.271,0.016,0.021,0.248,0.142,0.13,0.173
"10",0.173,0.018,0.025,0.319,0.146,0.144,0.174
"11",0.214,0.024,0.024,0.325,0.125,0.154,0.133
"12",0.176,0.017,0.018,0.373,0.119,0.14,0.158
"13",0.102,0.018,0.017,0.402,0.149,0.164,0.148
"14",0.282,0.02,0.017,0.254,0.142,0.161,0.123
"15",0.17,0.025,0.025,0.312,0.134,0.134,0.2
"16",0.195,0.026,0.022,0.309,0.134,0.145,0.169
"17",0.251,0.023,0.023,0.276,0.129,0.143,0.155
"18",0.264,0.02,0.017,0.29,0.12,0.145,0.143
"19",0.11,0.063,0.026,0.31,0.204,0.098,0.189
"20",0.134,0.052,0.038,0.281,0.194,0.094,0.207
"21",0.103,0.065,0.035,0.28,0.188,0.114,0.215
"22",0.056,0.054,0.03,0.285,0.201,0.115,0.259
"23",0.108,0.086,0.029,0.257,0.203,0.137,0.179
"24",0.087,0.051,0.028,0.284,0.194,0.11,0.247
"25",0.204,0.018,0.011,0.239,0.095,0.205,0.228
"26",0.062,0.013,0.012,0.593,0.108,0.141,0.07
"27",0.088,0.002,0.007,0.638,0.07,0.121,0.075
